iter	Passed	Remaining
0	212	212282
1	213	106696
2	214	71366
3	215	53660
4	216	43048
5	217	35970
6	218	30946
7	219	27164
8	220	24230
9	223	22084
10	223	20133
11	224	18524
12	225	17152
13	226	15986
14	227	14970
15	228	14071
16	229	13277
17	230	12576
18	231	11950
19	232	11384
20	233	10882
21	234	10416
22	235	9997
23	236	9630
24	237	9277
25	238	8942
26	239	8639
27	240	8359
28	241	8090
29	242	7841
30	243	7605
31	244	7388
32	245	7182
33	246	6989
34	246	6809
35	247	6634
36	248	6469
37	249	6314
38	250	6175
39	251	6046
40	252	5916
41	253	5790
42	254	5671
43	255	5559
44	256	5449
45	257	5344
46	258	5241
47	259	5143
48	260	5051
49	261	4960
50	261	4873
51	262	4790
52	263	4712
53	264	4633
54	265	4562
55	266	4492
56	267	4424
57	268	4357
58	269	4294
59	270	4233
60	271	4174
61	271	4115
62	272	4058
63	273	4002
64	274	3948
65	275	3898
66	276	3849
67	277	3800
68	278	3756
69	279	3708
70	280	3667
71	281	3625
72	282	3582
73	283	3543
74	284	3503
75	284	3463
76	285	3423
77	286	3386
78	287	3348
79	288	3313
80	289	3280
81	289	3246
82	290	3208
83	291	3175
84	292	3144
85	293	3114
86	293	3082
87	294	3054
88	295	3029
89	296	3000
90	297	2973
91	298	2945
92	299	2919
93	300	2892
94	300	2867
95	302	2845
96	302	2819
97	303	2796
98	304	2772
99	305	2749
100	306	2726
101	307	2703
102	307	2681
103	308	2661
104	310	2644
105	311	2624
106	312	2604
107	312	2585
108	313	2566
109	315	2549
110	316	2531
111	317	2513
112	317	2494
113	318	2476
114	319	2458
115	320	2440
116	320	2421
117	321	2405
118	322	2388
119	323	2372
120	324	2356
121	325	2341
122	326	2327
123	327	2311
124	328	2296
125	328	2281
126	329	2266
127	330	2251
128	331	2237
129	332	2222
130	332	2208
131	333	2194
132	334	2182
133	335	2170
134	336	2157
135	337	2143
136	338	2130
137	339	2117
138	340	2106
139	341	2096
140	342	2084
141	342	2070
142	343	2059
143	344	2047
144	345	2036
145	346	2024
146	346	2013
147	347	2002
148	348	1991
149	349	1981
150	350	1970
151	351	1959
152	352	1949
153	352	1939
154	354	1930
155	355	1921
156	356	1912
157	357	1903
158	358	1893
159	359	1884
160	359	1874
161	360	1866
162	361	1857
163	362	1848
164	363	1840
165	364	1832
166	365	1824
167	366	1816
168	367	1807
169	371	1814
170	375	1822
171	379	1829
172	383	1833
173	387	1838
174	389	1837
175	392	1836
176	394	1833
177	396	1829
178	398	1826
179	399	1821
180	401	1816
181	403	1812
182	404	1806
183	406	1800
184	407	1795
185	408	1788
186	410	1783
187	411	1776
188	412	1769
189	413	1762
190	414	1756
191	415	1749
192	417	1743
193	417	1736
194	418	1729
195	419	1722
196	420	1715
197	421	1708
198	422	1700
199	423	1694
200	424	1686
201	425	1679
202	426	1672
203	426	1665
204	427	1658
205	428	1651
206	429	1644
207	430	1638
208	432	1635
209	433	1629
210	434	1624
211	435	1617
212	436	1611
213	437	1605
214	438	1599
215	439	1593
216	439	1587
217	440	1581
218	441	1575
219	442	1569
220	443	1563
221	444	1558
222	445	1552
223	447	1548
224	448	1543
225	448	1537
226	449	1532
227	450	1526
228	451	1520
229	452	1514
230	453	1509
231	454	1503
232	454	1497
233	455	1491
234	456	1486
235	457	1480
236	458	1475
237	458	1469
238	459	1464
239	460	1458
240	461	1454
241	462	1449
242	463	1444
243	464	1439
244	465	1433
245	466	1428
246	466	1423
247	467	1418
248	468	1413
249	469	1408
250	470	1403
251	471	1398
252	471	1393
253	472	1388
254	473	1383
255	474	1379
256	475	1374
257	477	1372
258	478	1368
259	479	1364
260	480	1360
261	481	1355
262	482	1351
263	483	1346
264	484	1342
265	484	1338
266	485	1333
267	486	1329
268	487	1325
269	488	1321
270	489	1317
271	490	1312
272	491	1309
273	492	1305
274	493	1302
275	494	1298
276	495	1294
277	496	1290
278	497	1286
279	498	1282
280	499	1278
281	500	1274
282	501	1270
283	502	1266
284	503	1262
285	504	1258
286	504	1254
287	506	1251
288	507	1247
289	508	1243
290	509	1240
291	509	1236
292	510	1233
293	511	1229
294	512	1225
295	513	1221
296	514	1218
297	515	1214
298	516	1211
299	517	1207
300	518	1204
301	519	1200
302	520	1196
303	521	1193
304	522	1190
305	523	1186
306	524	1183
307	525	1179
308	526	1176
309	527	1173
310	528	1169
311	528	1166
312	529	1162
313	530	1159
314	531	1155
315	532	1152
316	533	1148
317	533	1145
318	534	1141
319	536	1139
320	537	1136
321	537	1132
322	538	1129
323	539	1125
324	540	1122
325	541	1119
326	542	1116
327	543	1113
328	544	1110
329	545	1106
330	546	1103
331	546	1100
332	547	1097
333	548	1094
334	549	1091
335	550	1088
336	551	1085
337	552	1082
338	553	1079
339	554	1076
340	555	1073
341	556	1069
342	556	1066
343	557	1063
344	558	1060
345	559	1057
346	560	1053
347	560	1050
348	561	1047
349	562	1045
350	563	1042
351	564	1039
352	565	1037
353	566	1034
354	567	1031
355	568	1028
356	569	1025
357	570	1022
358	570	1019
359	571	1016
360	572	1013
361	573	1010
362	574	1008
363	575	1005
364	576	1002
365	577	1000
366	578	997
367	579	994
368	581	993
369	582	991
370	583	989
371	584	986
372	585	983
373	585	980
374	586	977
375	587	975
376	588	972
377	589	969
378	590	967
379	591	964
380	592	962
381	593	959
382	594	957
383	595	954
384	596	952
385	597	950
386	598	947
387	598	944
388	599	942
389	600	939
390	601	936
391	602	934
392	603	931
393	604	929
394	605	926
395	606	924
396	606	921
397	607	919
398	608	916
399	609	914
400	612	914
401	613	912
402	614	910
403	615	907
404	616	905
405	617	903
406	618	900
407	618	898
408	619	895
409	620	893
410	621	890
411	622	888
412	623	885
413	624	883
414	625	881
415	627	880
416	629	879
417	630	877
418	630	874
419	631	872
420	632	870
421	633	867
422	634	865
423	635	862
424	635	860
425	636	857
426	637	855
427	638	853
428	639	851
429	640	848
430	641	847
431	642	845
432	643	842
433	644	840
434	645	838
435	646	836
436	647	833
437	648	831
438	648	829
439	649	827
440	650	824
441	651	822
442	652	820
443	653	818
444	654	816
445	655	814
446	656	812
447	657	810
448	658	808
449	659	805
450	660	803
451	661	801
452	662	799
453	663	797
454	664	795
455	664	793
456	665	791
457	666	789
458	667	786
459	668	784
460	669	782
461	670	780
462	671	778
463	672	776
464	673	774
465	674	772
466	675	770
467	676	768
468	677	766
469	677	764
470	678	762
471	679	760
472	680	758
473	681	756
474	682	754
475	683	752
476	684	750
477	685	748
478	686	746
479	687	744
480	688	742
481	688	740
482	689	738
483	690	736
484	691	734
485	692	732
486	693	730
487	694	728
488	695	726
489	696	724
490	697	722
491	697	720
492	698	718
493	700	717
494	700	715
495	701	713
496	702	711
497	703	709
498	704	707
499	705	705
500	706	703
501	707	701
502	708	699
503	708	697
504	709	695
505	710	693
506	711	691
507	712	690
508	713	688
509	714	686
510	715	684
511	716	682
512	717	681
513	718	679
514	719	677
515	720	675
516	721	673
517	722	672
518	723	670
519	724	668
520	725	666
521	725	664
522	726	662
523	727	661
524	728	659
525	730	657
526	731	656
527	732	654
528	733	652
529	734	650
530	735	649
531	736	647
532	736	645
533	737	643
534	738	642
535	739	640
536	740	638
537	741	636
538	742	634
539	743	633
540	744	631
541	745	630
542	746	628
543	747	626
544	748	624
545	749	623
546	750	621
547	751	619
548	752	617
549	753	616
550	754	614
551	755	613
552	756	611
553	757	610
554	758	608
555	760	607
556	762	606
557	763	604
558	764	603
559	765	601
560	766	599
561	767	597
562	768	596
563	769	594
564	770	593
565	771	591
566	772	589
567	773	588
568	774	586
569	775	584
570	776	583
571	777	581
572	778	579
573	779	578
574	780	576
575	780	574
576	781	573
577	782	571
578	783	569
579	784	568
580	785	566
581	786	564
582	787	563
583	788	561
584	789	560
585	790	558
586	791	556
587	792	555
588	793	553
589	794	551
590	795	550
591	796	548
592	796	546
593	797	545
594	798	543
595	799	541
596	800	540
597	801	538
598	802	537
599	803	535
600	805	534
601	806	533
602	807	531
603	808	529
604	808	528
605	809	526
606	810	524
607	811	523
608	812	521
609	813	520
610	814	518
611	815	517
612	817	515
613	818	514
614	819	513
615	820	511
616	821	509
617	822	508
618	823	506
619	824	505
620	825	503
621	825	501
622	826	500
623	827	498
624	828	497
625	829	495
626	830	494
627	831	492
628	832	490
629	833	489
630	835	488
631	836	486
632	836	485
633	837	483
634	838	482
635	839	480
636	840	479
637	841	477
638	842	475
639	843	474
640	844	472
641	845	471
642	846	469
643	847	468
644	847	466
645	849	465
646	850	464
647	851	462
648	852	460
649	853	459
650	853	457
651	854	456
652	855	454
653	856	453
654	857	451
655	858	450
656	859	448
657	860	447
658	861	445
659	861	444
660	862	442
661	864	441
662	865	439
663	865	438
664	866	436
665	867	435
666	868	433
667	869	432
668	870	430
669	871	429
670	872	427
671	873	426
672	873	424
673	874	423
674	875	421
675	876	420
676	877	418
677	878	417
678	879	415
679	880	414
680	881	413
681	882	411
682	883	410
683	884	408
684	885	407
685	886	405
686	887	404
687	888	402
688	889	401
689	890	399
690	891	398
691	891	397
692	893	395
693	894	394
694	895	392
695	896	391
696	896	389
697	897	388
698	898	387
699	899	385
700	900	384
701	901	382
702	902	381
703	903	379
704	904	378
705	905	377
706	906	375
707	907	374
708	908	372
709	909	371
710	910	370
711	911	368
712	912	367
713	913	365
714	914	364
715	915	363
716	916	361
717	917	360
718	918	358
719	919	357
720	920	356
721	921	354
722	922	353
723	923	351
724	924	350
725	925	349
726	926	347
727	927	346
728	927	344
729	928	343
730	929	342
731	930	340
732	931	339
733	932	337
734	933	336
735	933	334
736	934	333
737	935	332
738	936	330
739	937	329
740	938	328
741	939	326
742	940	325
743	941	323
744	942	322
745	943	321
746	944	319
747	944	318
748	945	316
749	946	315
750	947	314
751	948	312
752	949	311
753	950	309
754	950	308
755	951	307
756	952	305
757	953	304
758	954	303
759	955	301
760	956	300
761	957	299
762	958	297
763	959	296
764	960	294
765	961	293
766	962	292
767	963	290
768	963	289
769	964	288
770	965	286
771	966	285
772	967	284
773	968	282
774	969	281
775	970	280
776	971	278
777	972	277
778	973	276
779	974	274
780	975	273
781	976	272
782	977	270
783	978	269
784	979	268
785	980	266
786	980	265
787	981	264
788	983	263
789	985	261
790	986	260
791	987	259
792	988	258
793	989	256
794	990	255
795	991	254
796	992	252
797	992	251
798	993	250
799	994	248
800	995	247
801	996	246
802	997	244
803	998	243
804	999	242
805	1000	240
806	1001	239
807	1002	238
808	1003	236
809	1004	235
810	1005	234
811	1006	232
812	1006	231
813	1007	230
814	1008	228
815	1009	227
816	1010	226
817	1011	225
818	1012	223
819	1013	222
820	1014	221
821	1015	219
822	1015	218
823	1016	217
824	1017	215
825	1018	214
826	1019	213
827	1020	211
828	1021	210
829	1022	209
830	1022	208
831	1023	206
832	1024	205
833	1025	204
834	1026	202
835	1027	201
836	1028	200
837	1029	198
838	1030	197
839	1031	196
840	1031	195
841	1032	193
842	1033	192
843	1034	191
844	1035	189
845	1036	188
846	1037	187
847	1038	186
848	1039	184
849	1040	183
850	1041	182
851	1042	181
852	1043	179
853	1044	178
854	1045	177
855	1046	176
856	1047	174
857	1048	173
858	1049	172
859	1050	171
860	1051	169
861	1052	168
862	1053	167
863	1054	166
864	1055	164
865	1056	163
866	1058	162
867	1059	161
868	1060	159
869	1060	158
870	1061	157
871	1062	156
872	1063	154
873	1064	153
874	1065	152
875	1066	150
876	1067	149
877	1068	148
878	1069	147
879	1072	146
880	1076	145
881	1078	144
882	1080	143
883	1083	142
884	1085	141
885	1087	139
886	1089	138
887	1090	137
888	1092	136
889	1093	135
890	1095	133
891	1096	132
892	1097	131
893	1098	130
894	1099	129
895	1101	127
896	1102	126
897	1103	125
898	1104	124
899	1105	122
900	1106	121
901	1107	120
902	1108	119
903	1109	117
904	1110	116
905	1111	115
906	1112	114
907	1113	112
908	1113	111
909	1114	110
910	1115	109
911	1116	107
912	1117	106
913	1118	105
914	1119	103
915	1120	102
916	1120	101
917	1121	100
918	1122	98
919	1123	97
920	1124	96
921	1125	95
922	1125	93
923	1126	92
924	1127	91
925	1128	90
926	1129	88
927	1130	87
928	1131	86
929	1132	85
930	1133	83
931	1133	82
932	1134	81
933	1135	80
934	1136	79
935	1137	77
936	1138	76
937	1139	75
938	1139	74
939	1140	72
940	1141	71
941	1142	70
942	1143	69
943	1144	67
944	1145	66
945	1146	65
946	1147	64
947	1147	62
948	1148	61
949	1149	60
950	1150	59
951	1151	58
952	1152	56
953	1153	55
954	1153	54
955	1155	53
956	1155	51
957	1156	50
958	1157	49
959	1158	48
960	1159	47
961	1160	45
962	1161	44
963	1162	43
964	1163	42
965	1164	40
966	1165	39
967	1166	38
968	1167	37
969	1168	36
970	1169	34
971	1170	33
972	1170	32
973	1171	31
974	1172	30
975	1173	28
976	1174	27
977	1175	26
978	1176	25
979	1177	24
980	1178	22
981	1179	21
982	1180	20
983	1181	19
984	1182	18
985	1183	16
986	1184	15
987	1185	14
988	1186	13
989	1187	11
990	1187	10
991	1188	9
992	1189	8
993	1190	7
994	1192	5
995	1192	4
996	1193	3
997	1194	2
998	1195	1
999	1196	0
